Unnamed: 0,ref,frag,inst,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,mask,lang,text,line,word,annotation
3652,P335168.6.1,{mi₂}sam-⸢si⸣—[x,u,u,"['𒊩', '𒌑', '𒋛', 'x']",𒊩𒌑𒋛x,{MI₂}sam-⸢si⸣-[x],"['complete', 'complete', 'damaged', 'missing']",0.38,,,,,,P335168,6,1,object sold
3653,P335168.6.2,x],u,u,['x'],x,[x],['missing'],1.0,,,,,,P335168,6,2,object sold
3654,P335168.6.3,GEME₂-šu₂,amtīšu[maid]N,N,"['𒊩𒆳', '𒋙']",𒊩𒆳𒋙,GEME₂-šu₂,"['complete', 'complete']",0.0,amtīšu,amtu,maid,,,P335168,6,3,object sold
3655,P335168.7.1,DUMU,māru[son]N,N,['𒌉'],𒌉,DUMU,['complete'],0.0,māru,māru,son,,,P335168,7,1,object sold
3656,P335168.7.2,⸢GA⸣,zizibu[suckling]'AJ,N,['𒂵'],𒂵,⸢GA⸣,['damaged'],0.5,zizibu,šizbu,suckling,,,P335168,7,2,object sold
3657,P335168.7.3,[x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P335168,7,3,object sold
3658,P335168.7.4,(x),u,u,['x'],x,[x],['missing'],1.0,,,,,,P335168,7,4,object sold
3659,P335168.7.5,x]-MEŠ,u,u,"['x', '𒈨𒌍']",x𒈨𒌍,[x]-MEŠ,"['missing', 'complete']",0.5,,,,,,P335168,7,5,object sold
3660,P335168.8.1,u₂-piš-ma,uppišma[contract]V,V,"['𒌑', '𒄫', '𒈠']",𒌑𒄫𒈠,u₂-piš-ma,"['complete', 'complete', 'complete']",0.0,uppišma,epēšu,contract,,,P335168,8,1,initiation of transaction
3661,P335168.8.2,{1}[x,u,u,"['𒁹', 'x']",𒁹x,{1}[x],"['complete', 'missing']",0.5,,,,,,P335168,8,2,initiation of transaction
3662,P335168.8.3,(x),u,u,['x'],x,[x],['missing'],1.0,,,,,,P335168,8,3,initiation of transaction
3663,P335168.8.4,x]+⸢x⸣-a.a,u,u,"['x', 'x', '𒀀', '𒀀']",xx𒀀𒀀,[x]+⸢x⸣-a.a,"['missing', 'damaged', 'complete', 'complete']",0.38,,,,,,P335168,8,4,initiation of transaction
3664,P335168.9.1,ina,ina[in+=for]PRP,PRP,['𒀸'],𒀸,ina,['complete'],0.0,ina,ina,in,,,P335168,9,1,price
3665,P335168.9.2,ŠA₃-⸢bi⸣,libbi[interior]N,N,"['𒊮', '𒁉']",𒊮𒁉,ŠA₃-⸢bi⸣,"['complete', 'damaged']",0.25,libbi,libbu,interior,,,P335168,9,2,price
3666,P335168.9.3,[x,u,u,['x'],x,[x],['missing'],1.0,,,,,,P335168,9,3,price
3667,P335168.9.4,MA.NA],manê[a unit of weight]N,N,"['𒈠', '𒈾']",𒈠𒈾,[MA].[NA],"['missing', 'missing']",1.0,manê,manû,a unit of weight,,,P335168,9,4,price
