Unnamed: 0,ref,frag,inst,pos,unicode,unicode_word,reading,break,break_perc,norm,cf,sense,mask,lang,text,line,word,annotation
1322,P335164.6.1,{[mi₂}x]+⸢x⸣-di-be₂-e-ša₂—ŠA₃-bi,u,u,"['𒊩', 'x', 'x', '𒁲', '𒁉', '𒂊', '𒃻', '𒊮', '𒁉']",𒊩xx𒁲𒁉𒂊𒃻𒊮𒁉,{[MI₂]}[x]+⸢x⸣-di-be₂-e-ša₂-ŠA₃-bi,"['missing', 'missing', 'damaged', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.28,,,,,,P335164,6,1,object sold
1323,P335164.6.2,GEME₂-[šu₂],amtīšu[maid]N,N,"['𒊩𒆳', '𒋙']",𒊩𒆳𒋙,GEME₂-[šu₂],"['complete', 'missing']",0.5,amtīšu,amtu,maid,,,P335164,6,2,object sold
1324,P335164.7.1,ša,ša[of]DET,DET,['𒊭'],𒊭,ša,['complete'],0.0,ša,ša,of,,,P335164,7,1,object sold
1325,P335164.7.2,{1}{d}se-eʾ—a.a-li,Seʾ-ayali[1]PN$,PN,"['𒁹', '𒀭', '𒋛', '𒀪', '𒀀', '𒀀', '𒇷']",𒁹𒀭𒋛𒀪𒀀𒀀𒇷,{1}{d}se-eʾ-a.a-li,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,Seʾ-ayali,Seʾ-ayali,1,PN,,P335164,7,2,object sold
1326,P335164.8.1,u₂-piš-ma,uppišma[contract]V,V,"['𒌑', '𒄫', '𒈠']",𒌑𒄫𒈠,u₂-piš-ma,"['complete', 'complete', 'complete']",0.0,uppišma,epēšu,contract,,,P335164,8,1,initiation of transaction
1327,P335164.8.2,{1}ṣal-mu—PAB-meš,Ṣalam-ahhe[1]PN$Ṣalmu-ahhe,PN,"['𒁹', '𒉌', '𒈬', '𒉽', '𒈨𒌍']",𒁹𒉌𒈬𒉽𒈨𒌍,{1}ṣal-mu-PAB-meš,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,Ṣalmu-ahhe,Ṣalam-ahhe,1,PN,,P335164,8,2,initiation of transaction
1328,P335164.8.3,o,u,u,['o'],o,o,['complete'],0.0,,,,,,P335164,8,3,initiation of transaction
1329,P335164.9.1,ina,ina[in+=for]PRP,PRP,['𒀸'],𒀸,ina,['complete'],0.0,ina,ina,in,,,P335164,9,1,price
1330,P335164.9.2,ŠA₃-bi,libbi[interior]N,N,"['𒊮', '𒁉']",𒊮𒁉,ŠA₃-bi,"['complete', 'complete']",0.0,libbi,libbu,interior,,,P335164,9,2,price
1331,P335164.9.3,01,n,n,['𒁹'],𒁹,01,['complete'],0.0,,,,NUMBER,,P335164,9,3,price
1332,P335164.9.4,1/2,n,n,['𒈦'],𒈦,1/2,['complete'],0.0,,,,NUMBER,,P335164,9,4,price
1333,P335164.9.5,MA.NA,manê[a unit of weight]N,N,"['𒈠', '𒈾']",𒈠𒈾,MA.NA,"['complete', 'complete']",0.0,manê,manû,a unit of weight,,,P335164,9,5,price
1334,P335164.9.6,KUG.UD,ṣarpi[silver]N,N,"['𒆬', '𒌓']",𒆬𒌓,KUG.UD,"['complete', 'complete']",0.0,ṣarpi,ṣarpu,silver,,,P335164,9,6,price
1335,P335164.9.7,ina,ina[by]PRP,PRP,['𒀸'],𒀸,ina,['complete'],0.0,ina,ina,by,,,P335164,9,7,price
1336,P335164.9.8,ša₂,ša[of]DET,DET,['𒃻'],𒃻,ša₂,['complete'],0.0,ša,ša,of,,,P335164,9,8,price
1337,P335164.9.9,{uru}[gar-ga-mis],Gargamis[Carchemish]GN,GN,"['𒌷', '𒃻', '𒂵', '𒈩']",𒌷𒃻𒂵𒈩,{URU}[gar-ga-mis],"['complete', 'missing', 'missing', 'missing']",0.75,Gargamis,Gargamis,Carchemish,GN,,P335164,9,9,price
1338,P335164.10.1,TA,issu[from+=from]PRP,PRP,['𒋫'],𒋫,TA,['complete'],0.0,issu,ištu,from,,,P335164,10,1,completion of transaction
1339,P335164.10.2,IGI,pān[front]N,N,['𒅆'],𒅆,IGI,['complete'],0.0,pān,pānu,front,,,P335164,10,2,completion of transaction
1340,P335164.10.3,{1}se-eʾ—a.a-li,Seʾ-ayali[1]PN$,PN,"['𒁹', '𒋛', '𒀪', '𒀀', '𒀀', '𒇷']",𒁹𒋛𒀪𒀀𒀀𒇷,{1}se-eʾ-a.a-li,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,Seʾ-ayali,Seʾ-ayali,1,PN,,P335164,10,3,completion of transaction
1341,P335164.10.4,il-⸢qi⸣,ilqi[purchase]V,V,"['𒅋', '𒆥']",𒅋𒆥,il-⸢qi⸣,"['complete', 'damaged']",0.25,ilqi,leqû,purchase,,,P335164,10,4,completion of transaction
1342,P335164.11.1,kas-pu,kaspu[money]N,N,"['𒆜', '𒁍']",𒆜𒁍,kas-pu,"['complete', 'complete']",0.0,kaspu,kaspu,money,,,P335164,11,1,confirmation of transfer 1
