Unnamed: 0,ref,inst,frag,unicode,unicode_word,reading,break,break_perc,text,line,word,mask,annotation
528,P522486.2.1,%akk-x-neoass:{NA₄}KIŠIB=,{na₄}KIŠIB,"['𒉌𒌓', '𒈩']",𒉌𒌓𒈩,{NA₄}KIŠIB,"['complete', 'complete']",0.0,P522486,2,1,,seal identification
529,P522486.2.2,%akk-x-neoass:{m}IGI.LAL-aš-šur=,{m}⸢IGI⸣.[LAL-aš-šur],"['𒁹', '𒅆', '𒇲', '𒀸', '𒋩']",𒁹𒅆𒇲𒀸𒋩,{m}⸢IGI⸣.[LAL-aš-šur],"['complete', 'damaged', 'missing', 'missing', 'missing']",0.7,P522486,2,2,,seal identification
530,P522486.3.1,%akk-x-neoass:{LU₂}ha-za-nu=,{lu₂}ha-za-nu,"['𒇽', '𒄩', '𒍝', '𒉡']",𒇽𒄩𒍝𒉡,{LU₂}ha-za-nu,"['complete', 'complete', 'complete', 'complete']",0.0,P522486,3,1,,seal identification
531,P522486.3.2,%akk-x-neoass:x+x=,x+[x,"['X', 'X']",XX,x+[x],"['complete', 'missing']",0.5,P522486,3,2,,seal identification
532,P522486.3.3,%akk-x-neoass:x=,x,['X'],X,[x],['missing'],1.0,P522486,3,3,,seal identification
533,P522486.3.4,%akk-x-neoass:x=,x],['X'],X,[x],['missing'],1.0,P522486,3,4,,seal identification
534,P522486.4.1,%akk-x-neoass:EN=,EN,['𒂗'],𒂗,EN,['complete'],0.0,P522486,4,1,,seal identification
535,P522486.4.2,%akk-x-neoass:HA.LA=,HA.LA,"['𒄩', '𒆷']",𒄩𒆷,HA.LA,"['complete', 'complete']",0.0,P522486,4,2,,seal identification
536,P522486.4.3,%akk-x-neoass:zu-a-zi=,zu-a-zi,"['𒍪', '𒀀', '𒍣']",𒍪𒀀𒍣,zu-a-zi,"['complete', 'complete', 'complete']",0.0,P522486,4,3,,seal identification
537,P522486.5.1,%akk-x-neoass:HA.LA=,HA.LA,"['𒄩', '𒆷']",𒄩𒆷,HA.LA,"['complete', 'complete']",0.0,P522486,5,1,,object sold
538,P522486.5.2,%akk-x-neoass:ša₂=,ša₂,['𒃻'],𒃻,ša₂,['complete'],0.0,P522486,5,2,,object sold
539,P522486.5.3,%akk-x-neoass:{m}man-nu-ki-arba-il₃=,{m}man-nu-ki-arba-il₃,"['𒁹', '𒌋𒌋', '𒉡', '𒆠', '𒇹', '𒀭']",𒁹𒌋𒌋𒉡𒆠𒇹𒀭,{m}man-nu-ki-arba-il₃,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,P522486,5,3,,object sold
540,P522486.6.1,%akk-x-neoass:i-zu-zu-ni=,i-zu-zu-ni,"['𒄿', '𒍪', '𒍪', '𒉌']",𒄿𒍪𒍪𒉌,i-zu-zu-ni,"['complete', 'complete', 'complete', 'complete']",0.0,P522486,6,1,,object sold
541,P522486.10.1,%akk-x-neoass:{MI₂}NIN.LIL₂-BAD₃=,{mi₂}NIN.LIL₂-BAD₃,"['𒊩', '𒊩𒌆', '𒆤', '𒂦']",𒊩𒊩𒌆𒆤𒂦,{MI₂}NIN.LIL₂-BAD₃,"['complete', 'complete', 'complete', 'complete']",0.0,P522486,10,1,,object sold
542,P522486.10.2,%akk-x-neoass:GEME₂=,GEME₂,['𒊩𒆳'],𒊩𒆳,GEME₂,['complete'],0.0,P522486,10,2,,object sold
543,P522486.11.1,%akk-x-neoass:E₂-AD=,E₂-AD,"['𒂍', '𒀜']",𒂍𒀜,E₂-AD,"['complete', 'complete']",0.0,P522486,11,1,,object sold
544,P522486.11.2,%akk-x-neoass:a-na=,a-na,"['𒀀', '𒈾']",𒀀𒈾,a-na,"['complete', 'complete']",0.0,P522486,11,2,,object sold
545,P522486.11.3,%akk-x-neoass:gi-mir-ti-šu₂=,gi-mir-ti-šu₂,"['𒄀', '𒂇', '𒋾', '𒋙']",𒄀𒂇𒋾𒋙,gi-mir-ti-šu₂,"['complete', 'complete', 'complete', 'complete']",0.0,P522486,11,3,,object sold
546,P522486.12.1,%akk-x-neoass:a-di=,a-di,"['𒀀', '𒁲']",𒀀𒁲,a-di,"['complete', 'complete']",0.0,P522486,12,1,,object sold
547,P522486.12.2,%akk-x-neoass:NI.NI=,NI.NI,"['𒉌', '𒉌']",𒉌𒉌,NI.NI,"['complete', 'complete']",0.0,P522486,12,2,,object sold
548,P522486.12.3,%akk-x-neoass:a-na=,a-na,"['𒀀', '𒈾']",𒀀𒈾,a-na,"['complete', 'complete']",0.0,P522486,12,3,,object sold
